Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,6/21/19,Acorns Later     Transfer   B4LN7B          WEB ID: 9000142693,-5,ACH_DEBIT,320.72,
DEBIT,6/21/19,Acorns Investing Transfer   555N7B          WEB ID: 9000142693,-10,ACH_DEBIT,325.72,
DEBIT,6/21/19,ALBANESE CONFECTIONER MERRILLVILLE IN        06/20,-8.53,DEBIT_CARD,335.72,
DEBIT,6/21/19,PARCHMENT - UNIV DOCS 480-719-1646 AZ        06/21,-10,DEBIT_CARD,344.25,
DEBIT,6/21/19,SUBWAY        03445418 CHICAGO IL            06/20,-9.13,DEBIT_CARD,354.25,
DEBIT,6/21/19,LONGHORN STEAK 012526 MERRILLVILLE IN        06/20,-32.08,DEBIT_CARD,363.38,
CREDIT,6/21/19,GREENWOOD PROJEC PAYROLL    PPD ID: 1462800242,312,ACH_CREDIT,395.46,
DEBIT,6/20/19,PARCHMENT - UNIV DOCS 480-719-1646 AZ        06/20,-10,DEBIT_CARD,83.46,
DEBIT,6/18/19,CAPITAL ONE      MOBILE PMT 916839800170721 WEB ID: 9279744980,-240.12,ACH_DEBIT,93.46,
DEBIT,6/18/19,PNW ADMISSIONS 219-989-3122 IN               06/18,-55,DEBIT_CARD,333.58,
DEBIT,6/18/19,CINNABON #28 MERRILLVILLE IN 06/17,-5.87,DEBIT_CARD,388.58,
DEBIT,6/17/19,EIG*Hostgator.com 713-5745287 MA             06/16,-10.95,DEBIT_CARD,394.45,
DEBIT,6/17/19,SPRINT *WIRELESS 800-639-6111 KS             06/15,-35.18,DEBIT_CARD,405.4,
DEBIT,6/17/19,Tithes,-28.45,DEBIT_CARD,440.58,
CREDIT,6/17/19,ATM CHECK DEPOSIT 06/17 1837 E 80TH AVE MERRILLVILLE IN,129.25,ATM_DEPOSIT,469.03,
DEBIT,6/14/19,Acorns Later     Transfer   DL3X4B          WEB ID: 9000142693,-5,ACH_DEBIT,339.78,
DEBIT,6/14/19,Acorns Investing Transfer   V7T25B          WEB ID: 9000142693,-10,ACH_DEBIT,344.78,
CREDIT,6/14/19,GREENWOOD PROJEC PAYROLL    PPD ID: 1462800242,284.5,ACH_CREDIT,354.78,
DEBIT,6/13/19,STRACK & VAN TIL #8797 CROWN POINT IN        06/12,-82.44,DEBIT_CARD,70.28,
DEBIT,6/12/19,Acorns Investing Transfer   H1T24B          WEB ID: 9000142693,-7.39,ACH_DEBIT,152.72,
DEBIT,6/12/19,ALDI 62025 CROWN POINT IN            917393  06/12,-14.56,DEBIT_CARD,160.11,
DEBIT,6/12/19,SOUTH SHORE RR 219-874-4221 IN               06/12,-129.25,DEBIT_CARD,174.67,
DEBIT,6/11/19,PANDA EXPRESS #1472 MERRILLVILLE IN          06/10,-6.48,DEBIT_CARD,303.92,
DEBIT,6/10/19,Walgreens Groceries IN608606  06/10,-3.99,DEBIT_CARD,310.4,
DEBIT,6/10/19,SOUTH SHORE RR 219-874-4221 IN               06/08,-7.5,DEBIT_CARD,314.39,
DEBIT,6/10/19,CHIPOTLE 0088 CHICAGO IL     06/07,-8.36,DEBIT_CARD,321.89,
DEBIT,6/10/19,DUSABLE MUSEUM CHICAGO IL    06/07,-7,DEBIT_CARD,330.25,
DEBIT,6/10/19,SOUTH SHORE RR 219-874-4221 IN               06/08,-6.75,DEBIT_CARD,337.25,
CREDIT,6/10/19,GREENWOOD PROJEC PAYROLL    PPD ID: 1462800242,301,ACH_CREDIT,344,
DEBIT,6/7/19,Acorns Later     Transfer   FBK72B          WEB ID: 9000142693,-5,ACH_DEBIT,43,
DEBIT,6/7/19,Acorns Investing Transfer   XRX62B          WEB ID: 9000142693,-10,ACH_DEBIT,48,
DEBIT,6/7/19,QuickPay with Zelle payment to Sydney Taylor ,-4.25,QUICKPAY_DEBIT,58,
DEBIT,6/7/19,AMZN Mktp US*M69062L Amzn.com/bill WA        06/07,-24.42,DEBIT_CARD,62.25,
DEBIT,6/7/19,SOUTH SHORE RR 219-874-4221 IN               06/07,-7,DEBIT_CARD,86.67,
DEBIT,6/7/19,GARRETT POPCORN SHOPS CHICAGO IL             06/06,-5.4,DEBIT_CARD,93.67,
DEBIT,6/7/19,LASALLE CAFE  11308764 CHICAGO IL            06/06,-6.78,DEBIT_CARD,99.07,
DEBIT,6/7/19,SOUTH SHORE RR 219-874-4221 IN               06/07,-7.5,DEBIT_CARD,105.85,
DEBIT,6/6/19,Acorns Investing Transfer   JNHS1B          WEB ID: 9000142693,-5.33,ACH_DEBIT,113.35,
DEBIT,6/6/19,TARGET T-2799 1 S Stat CHICAGO IL    563736  06/06,-3.41,DEBIT_CARD,118.68,
DEBIT,6/5/19,SOUTH SHORE RR 219-874-4221 IN               06/05,-7.5,DEBIT_CARD,122.09,
DEBIT,6/5/19,SUBWAY        03267713 CHICAGO IL            06/04,-4,DEBIT_CARD,129.59,
DEBIT,6/5/19,SOUTH SHORE RR 219-874-4221 IN               06/05,-7.5,DEBIT_CARD,133.59,
DEBIT,6/4/19,SOUTH SHORE RR 219-874-4221 IN               06/04,-7.5,DEBIT_CARD,141.09,
DEBIT,6/4/19,SOUTH SHORE RR 219-874-4221 IN               06/04,-7,DEBIT_CARD,148.59,
DEBIT,6/3/19,QuickPay with Zelle payment to Sarita Stevens 8292053900,-40,QUICKPAY_DEBIT,155.59,
DEBIT,6/3/19,Online Transfer to CHK ...4842 transaction#: 8292045182 06/03,-12,ACCT_XFER,195.59,
DEBIT,6/3/19,SOUTH SHORE RR 219-874-4221 IN               06/01,-7,DEBIT_CARD,207.59,
DEBIT,5/31/19,Acorns Later     Transfer   SS9QX9          WEB ID: 9000142693,-5,ACH_DEBIT,214.59,
DEBIT,5/31/19,Amazon Prime Amzn.com/bill WA05/31,-6.49,DEBIT_CARD,219.59,
DEBIT,5/31/19,Acorns Investing Transfer   GF2PX9          WEB ID: 9000142693,-10,ACH_DEBIT,226.08,
DEBIT,5/31/19,QuickPay with Zelle payment to Skip 8286616124,-20,QUICKPAY_DEBIT,236.08,
DEBIT,5/31/19,SOUTH SHORE RR 219-874-4221 IN               05/31,-7,DEBIT_CARD,256.08,
DEBIT,5/31/19,SOUTH SHORE RR 219-874-4221 IN               05/31,-7,DEBIT_CARD,263.08,
DEBIT,5/30/19,CAPITAL ONE      MOBILE PMT 914939800041194 WEB ID: 9279744980,-43.19,ACH_DEBIT,270.08,
DEBIT,5/30/19,Walgreens Groceries IN562915  05/30,-3.68,DEBIT_CARD,313.27,
DEBIT,5/30/19,SOUTH SHORE RR 219-874-4221 IN               05/30,-7,DEBIT_CARD,316.95,
DEBIT,5/30/19,SOUTH SHORE RR 219-874-4221 IN               05/30,-7,DEBIT_CARD,323.95,
CREDIT,5/30/19,"QuickPay with Zelle payment from MILLERCASTRO, ANITA BAC9f460330a",60,PARTNERFI_TO_CHASE,330.95,
DEBIT,5/30/19,PAYPAL *TECHREDO 402-935-7733 CA             05/29,47.1,DEBIT_CARD,270.95,
DEBIT,5/29/19,QuickPay with Zelle payment to Skip 8276913084,-20,QUICKPAY_DEBIT,223.85,
DEBIT,5/29/19,PANDA EXPRESS #1472 MERRILLVILLE IN          05/28,-8.24,DEBIT_CARD,243.85,
DEBIT,5/29/19,SOUTH SHORE RR 219-874-4221 IN               05/29,-7,DEBIT_CARD,252.09,
DEBIT,5/29/19,POTBELLY #245 CHICAGO IL     05/28,-4.46,DEBIT_CARD,259.09,
DEBIT,5/29/19,SOUTH SHORE RR 219-874-4221 IN               05/29,-7,DEBIT_CARD,263.55,
DEBIT,5/28/19,ATM WITHDRAWAL       005170  05/276790 BROA,-20,ATM,270.55,
DEBIT,5/28/19,WENDY S #331 MERRILLVILLE IN 05/24,-4.68,DEBIT_CARD,290.55,
DEBIT,5/28/19,AMZN Mktp US*MN74I2K Amzn.com/bill WA        05/24,-12.96,DEBIT_CARD,295.23,
CREDIT,5/28/19,Online Transfer from CHK ...4842 transaction#: 8273897488,1.27,ACCT_XFER,308.19,
CREDIT,5/28/19,Online Transfer from CHK ...4842 transaction#: 8273896486,40,ACCT_XFER,306.92,
DEBIT,5/28/19,AMZN Mktp US Amzn.com/bill WA05/25,7.43,DEBIT_CARD,266.92,
DEBIT,5/28/19,AMZN Mktp US Amzn.com/bill WA05/26,38.06,DEBIT_CARD,259.49,
DEBIT,5/24/19,ALDI 62074 MERRILLVILLE IN           057594  05/24,-10.23,DEBIT_CARD,221.43,
DEBIT,5/24/19,ATM WITHDRAWAL       003508  05/246790 BROA,-40,ATM,231.66,
DEBIT,5/24/19,PAYPAL *TithesHOLDFA 402-935-7733 CA          05/23,-13,DEBIT_CARD,271.66,
CREDIT,5/24/19,Online Transfer from CHK ...4842 transaction#: 8264332624,8,ACCT_XFER,284.66,
CREDIT,5/24/19,Online Transfer from CHK ...4842 transaction#: 8264306864,10,ACCT_XFER,276.66,
CREDIT,5/24/19,Online Transfer from CHK ...4842 transaction#: 8260713937,12,ACCT_XFER,266.66,
CREDIT,5/24/19,Online Transfer from CHK ...4842 transaction#: 8264013162,40,ACCT_XFER,254.66,
CREDIT,5/24/19,QuickPay with Zelle payment from CHRISTOPHER D BURNETT 8264613400,100,QUICKPAY_CREDIT,214.66,
DEBIT,5/24/19,AMZN Mktp US Amzn.com/bill WA05/24,8.99,DEBIT_CARD,114.66,
DEBIT,5/24/19,AMZN Mktp US Amzn.com/bill WA05/23,37.44,DEBIT_CARD,105.67,
DEBIT,5/24/19,AMZN Mktp US Amzn.com/bill WA05/23,53.49,DEBIT_CARD,68.23,
CREDIT,5/23/19,Online Transfer from CHK ...4842 transaction#: 8258919242,14,ACCT_XFER,14.74,
DEBIT,5/22/19,CAPITAL ONE      MOBILE PMT 914139800427222 WEB ID: 9279744980,-39,ACH_DEBIT,0.74,
DEBIT,5/22/19,QuickPay with Zelle payment to RJ 8256295248,-125,QUICKPAY_DEBIT,39.74,
DEBIT,5/22/19,PAYPAL *JMPJ 402-935-7733 CA 05/22,-2.99,DEBIT_CARD,164.74,
DEBIT,5/22/19,Walgreens Groceries IN546275  05/21,-21.39,DEBIT_CARD,167.73,
DEBIT,5/22/19,UBER   *TRIP 800-592-8996 CA 05/21,-7.62,DEBIT_CARD,189.12,
DEBIT,5/22/19,Podiatric Medical Ass MERRILLVILLE IN        05/21,-30,DEBIT_CARD,196.74,
DEBIT,5/22/19,UBER   *TRIP 800-592-8996 CA 05/21,-7.53,DEBIT_CARD,226.74,
DEBIT,5/22/19,AMZN Mktp US*MN8ZR9H Amzn.com/bill WA        05/22,-14.86,DEBIT_CARD,234.27,
CREDIT,5/22/19,Online Transfer from CHK ...4842 transaction#: 8256291870,125,ACCT_XFER,249.13,
DEBIT,5/21/19,AMZN Mktp US*MN1B85M Amzn.com/bill WA        05/20,-6.5,DEBIT_CARD,124.13,
CREDIT,5/21/19,Online Transfer from CHK ...4842 transaction#: 8252805609,10,ACCT_XFER,130.63,
CREDIT,5/21/19,Online Transfer from CHK ...4842 transaction#: 8252960327,18,ACCT_XFER,120.63,
CREDIT,5/21/19,Online Transfer from CHK ...4842 transaction#: 8252687796,30,ACCT_XFER,102.63,
CREDIT,5/21/19,Online Transfer from CHK ...4842 transaction#: 8253299214,50,ACCT_XFER,72.63,
DEBIT,5/20/19,AMZN Mktp US*MN64J1X Amzn.com/bill WA        05/20,-137.98,DEBIT_CARD,22.63,
DEBIT,5/20/19,Online Transfer to CHK ...4842 transaction#: 8246703435 05/20,-30,ACCT_XFER,160.61,
DEBIT,5/20/19,AMK DELOITTE BISTRO CHICAGO IL               05/17,-3.9,DEBIT_CARD,190.61,
DEBIT,5/20/19,SOUTH SHORE RR 219-874-4221 IN               05/18,-7.5,DEBIT_CARD,194.51,
CREDIT,5/20/19,Online Transfer from CHK ...4842 transaction#: 8246704198,60,ACCT_XFER,202.01,
DEBIT,5/17/19,Microsoft*EA Access 1 M Redmond WA           05/17,-4.99,DEBIT_CARD,142.01,
DEBIT,5/17/19,EIG*Hostgator.com 713-5745287 MA             05/16,-10.95,DEBIT_CARD,147,
CREDIT,5/17/19,Acco PAYROLL    PPD ID: 1356001670,128.15,ACH_CREDIT,157.95,
DEBIT,5/16/19,SPRINT *WIRELESS 800-639-6111 KS             05/16,-29.83,DEBIT_CARD,29.8,
DEBIT,5/16/19,MEIJER # 165 611 W LI MERRILLVILLE IN        05/16 Purchase $36.23 Cash Back $10.00,-46.23,DEBIT_CARD,59.63,
DEBIT,5/16/19,MEIJER # 165 611 W LI MERRILLVILLE IN626727  05/16,-4.91,DEBIT_CARD,105.86,
DEBIT,5/16/19,PAYPAL *TECHREDO 402-935-7733 CA             05/16,-47.1,DEBIT_CARD,110.77,
DEBIT,5/15/19,Walgreens Groceries IN504925  05/14,-2.13,DEBIT_CARD,157.87,
DEBIT,5/14/19,UDEMY ONLINE COURSES HTTPSWWW.UDEM CA        05/13,-14.99,DEBIT_CARD,160,
DEBIT,5/14/19,PAYPAL *MORGANCASTR 402-935-7733 CA          05/13,-10.59,DEBIT_CARD,174.99,
DEBIT,5/14/19,PAYPAL *MORGANCASTR 402-935-7733 CA          05/14,10.59,DEBIT_CARD,185.58,
DEBIT,5/13/19,MEIJER # 165 611 W LI MERRILLVILLE IN946218  05/12,-27.33,DEBIT_CARD,174.99,
DEBIT,5/10/19,SHELL Service Station TERRE HAUTE IN 939930  05/10,-2.49,DEBIT_CARD,202.32,
DEBIT,5/10/19,IMPERIAL LANES TERRE HAUTE IN05/08,-12,DEBIT_CARD,204.81,
CREDIT,5/9/19,QuickPay with Zelle payment from RAMON JOSEPH HARRIS JR 8213096853,20,QUICKPAY_CREDIT,216.81,
CREDIT,5/8/19,INDIANA STATE UN INVOICE    PPD ID: 1356001670,29.57,ACH_CREDIT,196.81,
DEBIT,5/7/19,SQC*CASH APP CEECEE 8774174551 CA            05/06,-4,DEBIT_CARD,167.24,
DEBIT,5/7/19,ISU ADMIN WEB 812-2373511 IN 05/06,-35,DEBIT_CARD,171.24,
DEBIT,5/6/19,WAL Wal-Mart Super 110 TERRE HAUTE IN381557  05/06,-8.88,DEBIT_CARD,206.24,
DEBIT,5/6/19,ALDI 44065 TERRE HAUTE IN            080621  05/06,-36.13,DEBIT_CARD,215.12,
CREDIT,5/6/19,Square Inc       Austi      T200116686630   CCD ID: 8800429876,53,ACH_CREDIT,251.25,
CREDIT,5/3/19,ISU PAYROLL,169.89,ACH_CREDIT,198.25,
DEBIT,5/3/19,AMZN Mktp US Amzn.com/bill WA05/02,24.99,DEBIT_CARD,28.36,
DEBIT,5/1/19,AMZN Mktp US*MZ5BX7U Amzn.com/bill WA        04/30,-16.99,DEBIT_CARD,3.37,
DEBIT,4/30/19,Amazon Prime Amzn.com/bill WA04/30,-6.49,DEBIT_CARD,20.36,
DEBIT,4/30/19,AMZN Mktp US*MZ01D4S Amzn.com/bill WA        04/29,-52.98,DEBIT_CARD,26.85,
DEBIT,4/30/19,GREYHOUND LINES CNP 214-849-8966 TX          04/29,-57.5,DEBIT_CARD,79.83,
CREDIT,4/30/19,Online Transfer from CHK ...4842 transaction#: 8181635534,4,ACCT_XFER,137.33,
CREDIT,4/30/19,Online Transfer from CHK ...4842 transaction#: 8181321852,20,ACCT_XFER,133.33,
DEBIT,4/29/19,ADOBE *CREATIVE CLOUD 800-833-6687 CA        04/27,-21.39,DEBIT_CARD,113.33,
DEBIT,4/29/19,MEIJER # 165 611 W LI MERRILLVILLE IN556162  04/28,-9.46,DEBIT_CARD,134.72,
DEBIT,4/29/19,TARGET T-0870 2661 E MERRILLVILLE IN 404352  04/28,-8.26,DEBIT_CARD,144.18,
DEBIT,4/29/19,TAL INDIANAPOLIS MERRIAM KS  04/25,-1.35,DEBIT_CARD,152.44,
DEBIT,4/29/19,TAL INDIANAPOLIS MERRIAM KS  04/25,-1.35,DEBIT_CARD,153.79,
CREDIT,4/29/19,Online Transfer from CHK ...4842 transaction#: 8177180656,3,ACCT_XFER,155.14,
CREDIT,4/29/19,Online Transfer from CHK ...4842 transaction#: 8175650498,5,ACCT_XFER,152.14,
CREDIT,4/29/19,Online Transfer from CHK ...4842 transaction#: 8177068866,7,ACCT_XFER,147.14,
CREDIT,4/29/19,Online Transfer from CHK ...4842 transaction#: 8175705576,7,ACCT_XFER,140.14,
CREDIT,4/29/19,Online Transfer from CHK ...4842 transaction#: 8175500887,20,ACCT_XFER,133.14,
CREDIT,4/29/19,Online Transfer from CHK ...4842 transaction#: 8174482812,25,ACCT_XFER,113.14,
CREDIT,4/29/19,Online Transfer from CHK ...4842 transaction#: 8175704829,40,ACCT_XFER,88.14,
CREDIT,4/29/19,Online Transfer from CHK ...4842 transaction#: 8177061025,45,ACCT_XFER,48.14,
DEBIT,4/26/19,QuickPay with Zelle payment to Kevonte 8166959278,-10,QUICKPAY_DEBIT,3.14,
CREDIT,4/26/19,Online Transfer from CHK ...4842 transaction#: 8166958310,3,ACCT_XFER,13.14,
DEBIT,4/25/19,Online Transfer to CHK ...4842 transaction#: 8166957405 04/25,-2,ACCT_XFER,10.14,
DEBIT,4/25/19,AMZN Mktp US*MZ8X06Q Amzn.com/bill WA        04/24,-8.99,DEBIT_CARD,12.14,
DEBIT,4/24/19,SPRINT RETAIL #236018 TERRE HAUTE IN         04/23,-35.09,DEBIT_CARD,21.13,
DEBIT,4/24/19,TAL INDIANAPOLIS MERRIAM KS  04/23,-1.35,DEBIT_CARD,56.22,
DEBIT,4/24/19,Amazon.com*MZ0Q92M60 Amzn.com/bill WA        04/23,-14.98,DEBIT_CARD,57.57,
DEBIT,4/23/19,ISU LIB COFF  23058878 TERRE HAUTE IN        04/22,-1.49,DEBIT_CARD,72.55,
CREDIT,4/23/19,Online Transfer from CHK ...4842 transaction#: 8160072681,30,ACCT_XFER,74.04,
DEBIT,4/22/19,KROGER 987 TERRE HAUTE IN            734545  04/22,-9.5,DEBIT_CARD,44.04,
DEBIT,4/22/19,QuickPay with Zelle payment to Kevonte 8156756240,-10,QUICKPAY_DEBIT,53.54,
DEBIT,4/22/19,PAYPAL *TithesHOLDFA 402-935-7733 CA          04/20,-30.53,DEBIT_CARD,63.54,
CREDIT,4/22/19,Online Transfer from CHK ...4842 transaction#: 8156754845,10,ACCT_XFER,94.07,
CREDIT,4/22/19,Online Transfer from CHK ...4842 transaction#: 8156988878,50,ACCT_XFER,84.07,
DEBIT,4/19/19,Online Transfer to CHK ...4842 transaction#: 8147936593 04/19,-200,ACCT_XFER,34.07,
DEBIT,4/19/19,SQ *OY VEY BAKERY AND terre haute IN         04/18,-15.12,DEBIT_CARD,234.07,
DEBIT,4/19/19,AMZN Mktp US*MZ3H320 Amzn.com/bill WA        04/19,-9,DEBIT_CARD,249.19,
CREDIT,4/19/19,ISU PAYROLL,225.27,ACH_CREDIT,258.19,
DEBIT,4/18/19,Steamgames.com42595229 425-9522985 WA        04/17,-5,DEBIT_CARD,32.92,
CREDIT,4/18/19,Online Transfer from CHK ...4842 transaction#: 8143179114,20,ACCT_XFER,37.92,
DEBIT,4/18/19,STEAMGAMES.COM 425-889-9642 WA               04/17,5.69,DEBIT_CARD,17.92,
DEBIT,4/17/19,STEAMGAMES.COM 425-889-9642 WA               04/15,-5.69,DEBIT_CARD,12.23,
DEBIT,4/17/19,EIG*Hostgator.com 713-5745287 MA             04/16,-10.95,DEBIT_CARD,17.92,
DEBIT,4/17/19,WM SUPERCENTER # TERRE HAUTE IN      031241  04/16,-2.68,DEBIT_CARD,28.87,
DEBIT,4/17/19,AMZN Mktp US*MZ0UJ3Z Amzn.com/bill WA        04/17,-24.99,DEBIT_CARD,31.55,
DEBIT,4/17/19,ISU LIB COFF  23058878 TERRE HAUTE IN        04/16,-3.69,DEBIT_CARD,56.54,
DEBIT,4/16/19,KROGER 987 TERRE HAUTE IN            723568  04/16,-43.15,DEBIT_CARD,60.23,
DEBIT,4/16/19,TERRE HAUTE RURAL KING TERRE HAUTE IN        04/15,-3.49,DEBIT_CARD,103.38,
DEBIT,4/16/19,ISU LIB COFF  23058878 TERRE HAUTE IN        04/15,-4.99,DEBIT_CARD,106.87,
CREDIT,4/16/19,Online Transfer from CHK ...4842 transaction#: 8139959302,50,ACCT_XFER,111.86,
DEBIT,4/15/19,QuickPay with Zelle payment to Kevonte 8130843836,-5,QUICKPAY_DEBIT,61.86,
DEBIT,4/15/19,SQ *AMERICAN LEGENDS BRAZIL IN               04/12,-15,DEBIT_CARD,66.86,
DEBIT,4/12/19,Online Transfer to CHK ...4842 transaction#: 8126895071 04/12,-180,ACCT_XFER,81.86,
DEBIT,4/12/19,PAYPAL *SIMUNLOCKLI 4029357733               04/11,-0.99,DEBIT_CARD,261.86,
CREDIT,4/12/19,Square Inc       Austi      T200110970036   CCD ID: 8800429876,80,ACH_CREDIT,262.85,
DEBIT,4/12/19,AMZN Mktp US Amzn.com/bill WA04/11,27.99,DEBIT_CARD,182.85,
DEBIT,4/12/19,AMZN Mktp US Amzn.com/bill WA04/11,32.99,DEBIT_CARD,154.86,
DEBIT,4/11/19,PAYPAL *ZEERAAN321 402-935-7733 CA           04/11,-10,DEBIT_CARD,121.87,
DEBIT,4/10/19,PAYPAL *TithesHOLDFA 402-935-7733 CA          04/10,-10.3,DEBIT_CARD,131.87,
DEBIT,4/10/19,Isu Cupboard      04/09,-2.91,DEBIT_CARD,142.17,
DEBIT,4/10/19,ISU LIB COFF  23058878 TERRE HAUTE IN        04/09,-3.99,DEBIT_CARD,145.08,
DEBIT,4/10/19,AMZN Mktp US*MW5S81U Amzn.com/bill WA        04/09,-30.99,DEBIT_CARD,149.07,
CREDIT,4/10/19,Square Inc       Austi      T200110568147   CCD ID: 8800429876,50,ACH_CREDIT,180.06,
DEBIT,4/9/19,ISU LIB COFF  23058878 TERRE HAUTE IN        04/08,-3.69,DEBIT_CARD,130.06,
DEBIT,4/8/19,QuickPay with Zelle payment to RJ 8110981886,-4,QUICKPAY_DEBIT,133.75,
DEBIT,4/8/19,XTREME LAZER TAG - TER TERRE HAUTE IN        04/07,-15,DEBIT_CARD,137.75,
DEBIT,4/8/19,Prime Video*MW3CO2WO1 888-802-3080 WA        04/07,-4.99,DEBIT_CARD,152.75,
